,title,rating,release_year,type,listed_in,Date
250,Sex Education,TV-MA,2019,TV Show,"British TV Shows, International TV Shows, TV Comedies",1/18/2019
251,As Good as It Gets,PG-13,1997,Movie,"Comedies, Romantic Movies",1/2/2020
252,City of God,R,2002,Movie,"Dramas, Independent Movies, International Movies",3/25/2020
253,Hairspray,PG,2007,Movie,"Children & Family Movies, Comedies, Music & Musicals",2/2/2019
254,Harold & Kumar Go to White Castle,R,2004,Movie,"Comedies, Cult Movies",1/24/2020
255,Hitch,PG-13,2005,Movie,"Comedies, Romantic Movies",1/10/2020
256,Julie & Julia,PG-13,2009,Movie,"Comedies, Dramas",11/9/2018
257,Pan's Labyrinth,R,2006,Movie,"Dramas, International Movies, Sci-Fi & Fantasy",3/25/2020
258,The Invention of Lying,PG-13,2009,Movie,"Comedies, Romantic Movies",3/15/2020
259,Across the Universe,PG-13,2007,Movie,"Dramas, Music & Musicals, Romantic Movies",1/12/2019
260,Christmas with the Kranks,PG,2004,Movie,"Children & Family Movies, Comedies",12/17/2019
261,Good Girls,TV-14,2018,TV Show,"Crime TV Shows, TV Comedies, TV Dramas",3/21/2019
262,Good Girls,TV-14,2018,TV Show,"Crime TV Shows, TV Comedies, TV Dramas",3/21/2019
263,Pulp Fiction,R,1994,Movie,"Classic Movies, Cult Movies, Dramas",10/11/2019
264,Tidying Up with Marie Kondo,TV-PG,2019,TV Show,Reality TV,1/16/2019
265,Tidying Up with Marie Kondo,TV-PG,2019,TV Show,Reality TV,1/14/2019
266,Tidying Up with Marie Kondo,TV-PG,2019,TV Show,Reality TV,1/13/2019
267,Nailed It! Mexico,TV-PG,2019,TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",2/12/2019
268,Violet Evergarden,TV-14,2018,TV Show,"Anime Series, International TV Shows, Romantic TV Shows",4/14/2018
269,Ugly Delicious,TV-MA,2018,TV Show,Docuseries,3/17/2020
270,Ugly Delicious,TV-MA,2018,TV Show,Docuseries,6/10/2018
271,Ugly Delicious,TV-MA,2018,TV Show,Docuseries,3/11/2018
272,Lincoln,PG-13,2012,Movie,Dramas,5/5/2018
273,One Strange Rock,TV-PG,2018,TV Show,"Docuseries, Science & Nature TV",2/22/2019
274,Altered Carbon,TV-MA,2018,TV Show,"Crime TV Shows, TV Action & Adventure, TV Dramas",3/6/2018
275,The 2000s,TV-MA,2018,TV Show,Docuseries,3/14/2019
